season,week,player_id,player_name,team,position,fantasy_points,projected_points
2022,1,3068267,Austin Ekeler,LAC,RB,11.2,19.63
2022,1,4361579,Javonte Williams,DEN,RB,19.8,15.27
2022,1,3915416,DJ Moore,CHI,WR,8.0,14.48
2022,1,4239993,Tee Higgins,CIN,WR,4.7,14.62
2022,1,3932905,Diontae Johnson,PIT,WR,12.5,14.69
2022,1,4040715,Jalen Hurts,PHI,QB,24.72,22.92
2022,1,4360294,Antonio Gibson,WSH,RB,20.0,15.51
2022,1,2577327,Tyler Lockett,SEA,WR,5.8,12.2
2022,1,15795,DeAndre Hopkins,ARI,WR,0.0,0.0
2022,1,3916430,Nyheim Hines,BUF,RB,11.4,8.26
2022,1,4361411,Pat Freiermuth,PIT,TE,12.5,9.45
2022,1,4039359,Darrell Henderson Jr.,None,RB,12.3,7.85
2022,1,4426388,Jameson Williams,DET,WR,0.0,0.0
2022,1,4258173,Nico Collins,HOU,WR,4.6,9.5
2022,1,4242335,Jonathan Taylor,IND,RB,27.5,21.82
2022,1,3929630,Saquon Barkley,NYG,RB,33.4,15.92
2022,1,3121422,Terry McLaurin,WSH,WR,13.8,14.24
2022,1,3128429,Courtland Sutton,DEN,WR,11.2,12.82
2022,1,4241372,Marquise Brown,ARI,WR,14.3,14.48
2022,1,3117256,Dalton Schultz,HOU,TE,13.2,11.73
2022,1,8439,Aaron Rodgers,GB,QB,3.7,19.66
2022,1,2576414,Raheem Mostert,MIA,RB,4.2,8.55
2022,1,4372414,Elijah Moore,NYJ,WR,9.9,12.79
2022,1,3045144,Tyler Boyd,CIN,WR,13.3,8.42
2022,1,4035115,Albert Okwuegbunam,DEN,TE,8.3,8.19
2022,1,16757,Derek Carr,NO,QB,13.8,15.99
2022,1,3025433,Mike Davis,None,RB,1.1,10.64
2022,1,4040980,Irv Smith Jr.,MIN,TE,0.0,9.02
2022,1,3043078,Derrick Henry,TEN,RB,8.2,17.97
2022,1,3116385,Joe Mixon,CIN,RB,21.5,17.3
2022,1,4035538,David Montgomery,DET,RB,8.0,14.46
2022,1,4374302,Amon-Ra St. Brown,DET,WR,20.4,13.13
2022,1,3116165,Chris Godwin,TB,WR,6.5,10.38
2022,1,16799,Allen Robinson II,LAR,WR,2.2,12.86
2022,1,14881,Russell Wilson,DEN,QB,17.8,19.13
2022,1,3895856,Christian Kirk,JAX,WR,17.7,12.81
2022,1,4035886,Khalil Herbert,CHI,RB,11.3,6.16
2022,1,2576434,Melvin Gordon III,None,RB,7.2,8.97
2022,1,3046439,Hunter Henry,NE,TE,4.0,9.11
2022,1,4035004,Mecole Hardman,KC,WR,10.6,9.8
2022,1,16733,Odell Beckham Jr.,None,WR,0.0,0.0
2022,1,16813,Logan Thomas,WSH,TE,7.5,6.84
2022,1,3054850,Alvin Kamara,NO,RB,7.6,18.74
2022,1,3126486,Deebo Samuel,SF,WR,12.6,16.52
2022,1,4240021,Cam Akers,LAR,RB,0.0,12.36
2022,1,3040151,George Kittle,SF,TE,0.0,0.0
2022,1,3120348,JuJu Smith-Schuster,NE,WR,11.9,12.45
2022,1,4040655,Darnell Mooney,CHI,WR,1.8,11.62
2022,1,3915511,Joe Burrow,CIN,QB,18.22,18.11
2022,1,15807,Cordarrelle Patterson,ATL,RB,22.6,11.05
2022,1,4569618,Garrett Wilson,NYJ,WR,9.2,8.43
2022,1,4258595,Cole Kmet,CHI,TE,0.0,7.89
2022,1,4241479,Tua Tagovailoa,MIA,QB,14.8,17.28
2022,1,4371733,Kenneth Gainwell,PHI,RB,11.2,6.57
2022,1,2974858,Kenny Golladay,None,WR,4.2,9.26
2022,1,4362887,Justin Fields,CHI,QB,13.64,13.76
2022,1,2977187,Cooper Kupp,LAR,WR,31.8,19.72
2022,1,3042519,Aaron Jones,GB,RB,10.6,15.71
2022,1,3051392,Ezekiel Elliott,None,RB,5.9,13.28
2022,1,4038941,Justin Herbert,LAC,QB,23.26,20.79
2022,1,4372016,Jaylen Waddle,MIA,WR,17.7,13.5
2022,1,4241555,Elijah Mitchell,SF,RB,4.1,15.22
2022,1,4036133,T.J. Hockenson,MIN,TE,7.8,10.37
2022,1,3119195,Chase Edmonds,TB,RB,10.5,10.65
2022,1,4239934,AJ Dillon,GB,RB,20.1,10.63
2022,1,4240600,Kadarius Toney,KC,WR,2.3,12.17
2022,1,4567156,Treylon Burks,TEN,WR,8.5,7.95
2022,1,2572861,J.D. McKissic,None,RB,7.8,10.06
2022,1,2576623,DeVante Parker,NE,WR,1.9,9.45
2022,1,4697815,Rachaad White,TB,RB,4.1,4.62
2022,1,4362628,Ja'Marr Chase,CIN,WR,28.9,16.95
2022,1,3115364,Leonard Fournette,None,RB,15.7,17.16
2022,1,3045147,James Conner,ARI,RB,16.5,17.0
